SNI 2007;;;
;;;
Detaljgrupp (Officiell kodstruktur);Detaljgrupp;Benämning ;
49.100;49100;Järnvägstransport, passagerartrafik;
49.200;49200;Järnvägstransport, godstrafik;
49.311;49311;Linjebussverksamhet;
49.319;49319;Övrig kollektivtrafik;
49.320;49320;Taxitrafik;
49.390;49390;Annan landtransport av passagerare;
49.410;49410;Vägtransport, godstrafik;
49.420;49420;Flyttjänster;
49.500;49500;Transport i rörsystem;
50.101;50101;Reguljär sjötrafik över hav och kust av passagerare;
50.102;50102;Icke reguljär sjötrafik över hav och kust av passagerare;
50.201;50201;Reguljär sjötrafik över hav och kust av gods;
50.202;50202;Icke reguljär sjötrafik över hav och kust av gods;
50.301;50301;Reguljär sjötrafik på inre vattenvägar av passagerare;
50.302;50302;Icke reguljär sjötrafik på inre vattenvägar av passagerare;
50.401;50401;Reguljär sjötrafik på inre vattenvägar av gods;
50.402;50402;Icke reguljär sjötrafik på inre vattenvägar av gods;
51.101;51101;Reguljär lufttransport av passagerare;
51.102;51102;Icke reguljär lufttransport av passagerare;
51.211;51211;Reguljär lufttransport av gods;
51.212;51212;Icke reguljär lufttransport av gods;
51.220;51220;Rymdfart;
52.100;52100;Magasinering och varulagring;
52.211;52211;Bärgning för landtransport;
52.219;52219;Övriga stödtjänster till landtransport;
52.220;52220;Stödtjänster till sjötransport;
52.230;52230;Stödtjänster till lufttransport;
52.241;52241;Hamngodshantering;
52.249;52249;Övrig godshantering;
52.290;52290;Övriga stödtjänster till transport;
53.100;53100;Postbefordran via nationella posten;
53.201;53201;Annan postbefordran;
53.202;53202;Bud- och kurirverksamhet;
53.203;53203;Tidningsdistribution;
55.101;55101;Hotellverksamhet med restaurangrörelse;
55.102;55102;Drift av konferensanläggningar;
55.103;55103;Hotellverksamhet utan restaurangrörelse;
55.201;55201;Vandrarhemsverksamhet;
55.202;55202;Stugbyverksamhet m.m.;
55.300;55300;Campingplatsverksamhet;
55.900;55900;Annan logiverksamhet;
56.100;56100;Restaurangverksamhet;
56.210;56210;Cateringverksamhet vid enskilda evenemang;
56.291;56291;Drift av personalmatsalar;
56.292;56292;Centralköksverksamhet för sjukhus;
56.293;56293;Centralköksverksamhet för skolor, omsorgs- och andra institutioner;
56.294;56294;Cateringverksamhet för transportsektorn;
56.299;56299;Övrig cateringverksamhet;
56.300;56300;Barverksamhet;
58.110;58110;Bokutgivning;
58.120;58120;Publicering av kataloger och sändlistor;
58.131;58131;Dagstidningsutgivning;
58.132;58132;Annonstidningsutgivning;
58.140;58140;Utgivning av tidskrifter;
58.190;58190;Annan förlagsverksamhet;
58.210;58210;Utgivning av dataspel;
58.290;58290;Utgivning av annan programvara;
59.110;59110;Produktion av film, video och TV-program;
59.120;59120;Efterproduktion av film, video och TV-program;
59.130;59130;Film-, video- och TV-programdistribution;
59.140;59140;Filmvisning;
59.200;59200;Ljudinspelning och fonogramutgivning;
60.100;60100;Sändning av radioprogram;
60.200;60200;Planering av TV-program och sändningsverksamhet;
61.100;61100;Trådbunden telekommunikation;
61.200;61200;Trådlös telekommunikation;
61.300;61300;Telekommunikation via satellit;
61.900;61900;Annan telekommunikation;
62.010;62010;Dataprogrammering;
62.020;62020;Datakonsultverksamhet;
62.030;62030;Datordrifttjänster;
62.090;62090;Andra IT- och datatjänster;
63.110;63110;Databehandling, hosting o.d.;
63.120;63120;Webbportaler;
63.910;63910;Nyhetsservice;
63.990;63990;Övriga informationstjänster;
64.110;64110;Centralbanksverksamhet;
64.190;64190;Annan monetär finansförmedling;
64.201;64201;Holdingverksamhet i finansiella koncerner;
64.202;64202;Holdingverksamhet i icke-finansiella koncerner;
64.301;64301;Investeringsfonder;
64.309;64309;Andra fonder och liknande finansiella enheter;
64.910;64910;Finansiell leasing;
64.920;64920;Annan kreditgivning;
64.991;64991;Investment- och riskkapitalbolagsverksamhet;
64.992;64992;Handel med och förvaltning av värdepapper, för egen räkning;
64.993;64993;Förvaltning av och handel med värdepapper för en begränsad och sluten krets av ägare;
64.999;64999;Diverse övrig finansförmedling;
65.111;65111;Fondanknuten livförsäkring;
65.119;65119;Övrig livförsäkring;
65.120;65120;Skadeförsäkring;
65.200;65200;Återförsäkring;
65.300;65300;Pensionsfondsverksamhet;
66.110;66110;Administrativa tjänster till finansiella marknader;
66.120;66120;Verksamhet utförd av värdepappers- och varumäklare;
66.190;66190;Andra stödtjänster till finansiella tjänster utom försäkring och pensionsfondsverksamhet;
66.210;66210;Risk- och skadebedömning;
66.220;66220;Verksamhet utförd av försäkringsombud och försäkringsmäklare;
66.290;66290;Andra stödtjänster till försäkring och pensionsfondsverksamhet;
66.301;66301;Förvaltning av investeringsfonder;
66.309;66309;Annan fondförvaltning;
68.100;68100;Handel med egna fastigheter;
68.201;68201;Uthyrning och förvaltning av egna eller arrenderade bostäder;
68.202;68202;Uthyrning och förvaltning av egna eller arrenderade industrilokaler;
68.203;68203;Uthyrning och förvaltning av egna eller arrenderade, andra lokaler;
68.204;68204;Förvaltning i bostadsrättsföreningar;
68.209;68209;Övrig förvaltning av egna eller arrenderade fastigheter;
68.310;68310;Fastighetsförmedling;
68.320;68320;Fastighetsförvaltning på uppdrag;
69.101;69101;Advokatbyråverksamhet;
69.102;69102;Juridiska byråers verksamhet m.m.;
69.103;69103;Patentbyråverksamhet m.m.;
69.201;69201;Redovisning och bokföring;
69.202;69202;Revision;
69.203;69203;Skatterådgivning;
70.100;70100;Verksamheter som utövas av huvudkontor;
70.210;70210;PR och kommunikation;
70.220;70220;Konsultverksamhet avseende företags organisation;
71.110;71110;Arkitektverksamhet;
71.121;71121;Teknisk konsultverksamhet inom bygg- och anläggningsteknik;
71.122;71122;Teknisk konsultverksamhet inom industriteknik;
71.123;71123;Teknisk konsultverksamhet inom elteknik;
71.124;71124;Teknisk konsultverksamhet inom energi-, miljö- och VVS-teknik;
71.129;71129;Övrig teknisk konsultverksamhet;
71.200;71200;Teknisk provning och analys;
72.110;72110;Bioteknisk forskning och utveckling;
72.190;72190;Annan naturvetenskaplig och teknisk forskning och utveckling;
72.200;72200;Samhällsvetenskaplig och humanistisk forskning och utveckling;
73.111;73111;Reklambyråverksamhet;
73.112;73112;Direktreklamverksamhet;
73.119;73119;Övrig reklamverksamhet;
73.120;73120;Mediebyråverksamhet och annonsförsäljning;
73.200;73200;Marknads- och opinionsundersökning;
74.101;74101;Industri- och produktdesignverksamhet;
74.102;74102;Grafisk designverksamhet;
74.103;74103;Inredningsarkitektverksamhet;
74.201;74201;Porträttfotoverksamhet;
74.202;74202;Reklamfotoverksamhet;
74.203;74203;Press- och övrig fotografverksamhet;
74.204;74204;Fotolaboratorieverksamhet;
74.300;74300;Översättning och tolkning;
74.900;74900;Övrig verksamhet inom juridik, ekonomi, vetenskap och teknik;
75.000;75000;Veterinärverksamhet;
77.110;77110;Uthyrning och leasing av personbilar och lätta motorfordon;
77.120;77120;Uthyrning och leasing av lastbilar och andra tunga motorfordon;
77.210;77210;Uthyrning och leasing av fritids- och sportutrustning;
77.220;77220;Uthyrning av videokassetter och dvd-skivor;
77.290;77290;Uthyrning och leasing av andra hushållsartiklar och varor för personligt bruk;
77.310;77310;Uthyrning och leasing av jordbruksmaskiner och jordbruksredskap;
77.320;77320;Uthyrning och leasing av bygg- och anläggningsmaskiner;
77.330;77330;Uthyrning och leasing av kontorsmaskiner och kontorsutrustning (inklusive datorer);
77.340;77340;Uthyrning och leasing av fartyg och båtar;
77.350;77350;Uthyrning och leasing av flygplan;
77.390;77390;Uthyrning och leasing av övrig utrustning och övriga maskiner och materiella tillgångar;
77.400;77400;Leasing av immateriell egendom och liknande produkter, med undantag för upphovsrättsskyddade verk;
78.100;78100;Arbetsförmedling och rekrytering;
78.200;78200;Personaluthyrning;
78.300;78300;Övrigt tillhandahållande av personalfunktioner;
79.110;79110;Resebyråverksamhet;
79.120;79120;Researrangemang;
79.900;79900;Turist- och bokningsservice;
80.100;80100;Säkerhetsverksamhet;
80.200;80200;Säkerhetssystemtjänster;
80.300;80300;Spanings- och detektivverksamhet;
81.100;81100;Fastighetsrelaterade stödtjänster;
81.210;81210;Lokalvård;
81.221;81221;Rengöring av byggnader;
81.222;81222;Skorstensfejarverksamhet;
81.290;81290;Annan rengöring;
81.300;81300;Skötsel och underhåll av grönytor;
82.110;82110;Kombinerade kontorstjänster;
82.190;82190;Kopiering, dokumentsammanställning och andra specialiserade kontorstjänster;
82.200;82200;Callcenterverksamhet;
82.300;82300;Arrangemang av kongresser och mässor;
82.910;82910;Inkassoföretags och kreditupplysningsföretags verksamhet;
82.920;82920;Förpackningsverksamhet;
82.990;82990;Övriga företagstjänster;
84.111;84111;Stats- och kommunledning, lagstiftning och övergripande planering;
84.112;84112;Inspektion, kontroll, tillståndsgivning;
84.113;84113;Skatteförvaltning, indrivning;
84.114;84114;Samhällelig informationsförsörjning;
84.115;84115;Personalförvaltning och andra allmänna stödtjänster;
84.121;84121;Administration av grundskole- och gymnasieskoleutbildning;
84.122;84122;Administration av universitets- och högskoleutbildning samt forskning;
84.123;84123;Administration av hälso- och sjukvård;
84.124;84124;Administration av omsorg och socialtjänst;
84.125;84125;Administration av program för kultur, miljö, boende m.m.;
84.131;84131;Administration av infrastrukturprogram;
84.132;84132;Administration av program för jordbruk, skogsbruk, jakt och fiske;
84.133;84133;Administration av arbetsmarknadsprogram;
84.139;84139;Administration av andra näringslivsprogram;
84.210;84210;Utrikesförvaltning;
84.221;84221;Militärt försvar;
84.222;84222;Gemensam verksamhet för totalförsvaret;
84.223;84223;Civilt försvar och frivilligförsvar;
84.231;84231;Åklagarverksamhet;
84.232;84232;Domstolsverksamhet;
84.233;84233;Kriminalvård;
84.240;84240;Polisverksamhet;
84.250;84250;Brand- och räddningsverksamhet;
84.300;84300;Obligatorisk socialförsäkring;
85.100;85100;Förskoleutbildning;
85.201;85201;Grundskoleutbildning och förskoleklass;
85.202;85202;Utbildning inom grundsärskola;
85.311;85311;Studieförberedande gymnasial utbildning;
85.312;85312;Kommunal vuxenutbildning o.d.;
85.321;85321;Gymnasial yrkesutbildning;
85.322;85322;Utbildning inom gymnasiesärskola;
85.323;85323;Annan gymnasial utbildning;
85.324;85324;Yrkesförarutbildning m.m.;
85.410;85410;Eftergymnasial utbildning vid annat än universitet och högskola;
85.420;85420;Universitets- eller högskoleutbildning;
85.510;85510;Sport- och fritidsutbildning;
85.521;85521;Kommunala kulturskolans utbildning;
85.522;85522;Övrig musik-, dans- och kulturell utbildning;
85.530;85530;Trafikskoleverksamhet;
85.591;85591;Arbetsmarknadsutbildning;
85.592;85592;Folkhögskoleutbildning;
85.593;85593;Studieförbundens och frivilligorganisationernas utbildning;
85.594;85594;Personalutbildning;
85.599;85599;Diverse övrig utbildning;
85.600;85600;Stödverksamhet för utbildningsväsendet;
86.101;86101;Sluten primärvård;
86.102;86102;Specialiserad sluten somatisk hälso- och sjukvård på sjukhus;
86.103;86103;Specialiserad sluten psykiatrisk hälso- och sjukvård på sjukhus;
86.211;86211;Primärvårdsmottagningar med läkare m.m.;
86.212;86212;Annan allmän öppen hälso- och sjukvård, ej primärvård;
86.221;86221;Specialistläkarverksamhet inom öppenvård, på sjukhus;
86.222;86222;Specialistläkarverksamhet inom öppenvård, ej på sjukhus;
86.230;86230;Tandläkarverksamhet;
86.901;86901;Medicinsk laboratorieverksamhet m.m.;
86.902;86902;Ambulanstransporter och ambulanssjukvård;
86.903;86903;Primärvård, ej läkare;
86.904;86904;Tandhygienistverksamhet;
86.905;86905;Fysioterapeutisk verksamhet  o.d.;
86.909;86909;Annan öppen hälso- och sjukvård, utan läkare;
87.100;87100;Boende med sjuksköterskevård;
87.201;87201;Boende med särskild service för personer med utvecklingsstörning eller  psykiska funktionshinder;
87.202;87202;Boende med särskild service för barn och ungdomar med missbruksproblem;
87.203;87203;Boende med särskild service för vuxna med missbruksproblem;
87.301;87301;Vård och omsorg i särskilda boendeformer för äldre personer;
87.302;87302;Vård och omsorg i särskilda boendeformer för  personer med funktionshinder;
87.901;87901;Heldygnsvård med boende för barn och ungdomar med sociala problem;
87.902;87902;Omsorg och sociala insatser i övriga boendeformer för vuxna;
88.101;88101;Öppna sociala insatser för äldre personer;
88.102;88102;Öppna sociala insatser för personer med funktionshinder;
88.910;88910;Dagbarnvård;
88.991;88991;Öppna sociala insatser för barn och ungdomar med sociala problem;
88.992;88992;Öppna sociala insatser för vuxna med missbruksproblem;
88.993;88993;Övriga öppna sociala insatser för vuxna;
88.994;88994;Humanitära insatser;
88.995;88995;Drift av flyktingförläggning;
90.010;90010;Artistisk verksamhet;
90.020;90020;Stödtjänster till artistisk verksamhet;
90.030;90030;Litterärt och konstnärligt skapande;
90.040;90040;Drift av teatrar, konserthus o.d.;
91.011;91011;Biblioteksverksamhet;
91.012;91012;Arkivverksamhet;
91.020;91020;Museiverksamhet;
91.030;91030;Vård av historiska minnesmärken och byggnader och liknande sevärdheter;
91.040;91040;Drift av botaniska trädgårdar, djurparker och naturreservat;
92.000;92000;Spel- och vadhållningsverksamhet;
93.111;93111;Drift av skidsportanläggningar;
93.112;93112;Drift av golfbanor;
93.113;93113;Drift av motorbanor;
93.114;93114;Drift av trav- och galoppbanor;
93.119;93119;Drift av sporthallar, idrottsplatser och andra sportanläggningar;
93.120;93120;Sportklubbars och idrottsföreningars verksamhet;
93.130;93130;Drift av gymanläggningar;
93.191;93191;Tävling med hästar;
93.199;93199;Övrig sportverksamhet;
93.210;93210;Nöjes- och temaparksverksamhet;
93.290;93290;Övrig fritids- och nöjesverksamhet;
94.111;94111;Intressebevakning inom branschorganisationer;
94.112;94112;Intressebevakning inom arbetsgivarorganisationer;
94.120;94120;Intressebevakning inom yrkesorganisationer;
94.200;94200;Intressebevakning inom arbetstagarorganisationer;
94.910;94910;Verksamhet i religiösa samfund;
94.920;94920;Verksamhet i politiska organisationer;
94.990;94990;Verksamhet i andra intresseorganisationer;
95.110;95110;Reparation av datorer och kringutrustning;
95.120;95120;Reparation av kommunikationsutrustning;
95.210;95210;Reparation av hemelektronik;
95.220;95220;Reparation av hushållsapparater samt av utrustning för hem och trädgård;
95.230;95230;Lagning av skodon och lädervaror;
95.240;95240;Reparation av möbler och heminredning;
95.250;95250;Reparation av ur och guldsmedsvaror;
95.290;95290;Reparation av andra hushållsartiklar och personliga artiklar;
96.011;96011;Industri- och institutionstvätt;
96.012;96012;Konsumenttvätt;
96.021;96021;Hårvård;
96.022;96022;Skönhetsvård;
96.030;96030;Begravningsverksamhet;
96.040;96040;Kroppsvård;
96.090;96090;Övriga konsumenttjänster;
97.000;97000;Förvärvsarbete i hushåll;
98.100;98100;Hushållens produktion av diverse varor för eget bruk;
98.200;98200;Hushållens produktion av diverse tjänster för eget bruk;
99.000;99000;Verksamhet vid internationella organisationer, utländska ambassader o.d.;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
;;;
